URL without Self-referential Canonical Tags  ,Recommendation,Redirected URL (Canonical Page) 
https://silk.com/plant-based-products/oatmilk1/,301 Redirect ,https://silk.com/plant-based-products/dairy-free-yogurt-alternative/oatmilk1/
https://silk.com/plant-based-recipes/amazing-cashew-tiramisu,301 Redirect ,https://silk.com/plant-based-recipes/amazing-cashew-tiramisu/
https://silk.com/plant-based-products,301 Redirect ,https://silk.com/plant-based-products/
https://silk.com/plant-based-products/almondmilk/unsweet-organic-almondmilk,301 Redirect ,https://silk.com/plant-based-products/almondmilk/unsweet-organic-almondmilk/
https://silk.com/plant-based-products/shelf-stable/shelf-stable-vanilla-soymilk,301 Redirect ,https://silk.com/plant-based-products/shelf-stable/shelf-stable-vanilla-soymilk/
https://silk.com/plant-based-recipes/double-chocolate-smoothie,301 Redirect ,https://silk.com/plant-based-recipes/double-chocolate-smoothie/
https://silk.com/about-us/non-gmo,301 Redirect ,https://silk.com/about-us/non-gmo/
https://silk.com/plant-based-products/silk-kids/,301 Redirect ,https://silk.com/plant-based-products/beverages/silk-kids/
https://silk.com/plant-based-recipes/gingerbell-latte,301 Redirect ,https://silk.com/plant-based-recipes/gingerbell-latte/
https://silk.com/plant-based-recipes/pumpkin-pie-smoothie,301 Redirect ,https://silk.com/plant-based-recipes/pumpkin-pie-smoothie/
https://silk.com/plant-based-recipes/maple-pecan-and-banana-rice-pudding,301 Redirect ,https://silk.com/plant-based-recipes/maple-pecan-and-banana-rice-pudding/
https://silk.com/plant-based-recipes/mixed-berry-greens-smoothie,301 Redirect ,https://silk.com/plant-based-recipes/mixed-berry-greens-smoothie/
